Acc_Index	Vehicle_Reference	Casualty_Reference	Casualty_Class	Sex_of_Casualty	Age_Band_of_Casualty	Casualty_Severity	Pedestrian_Location	Pedestrian_Movement	Car_Passenger	Bus_or_Coach_Passenger	Pedestrian_Road_Maintenance_Worker	Casualty_Type	Casualty_Home_Area_Type	Accident_Index	Location_Easting_OSGR	Location_Northing_OSGR	Longitude	Latitude	Police_Force	Accident_Severity	Number_of_Vehicles	Number_of_Casualties	Date	Day_of_Week	Time	Local_Authority_(District)	Local_Authority_(Highway)	1st_Road_Class	1st_Road_Number	Road_Type	Speed_limit	Junction_Detail
2016051600563	1	1	2	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	0	0	0	4  ('Motorcyclist')	1	2016051600563	336124	393023	-2.961487	53.429863	5  (Merseyside)	2	2	1	14/02/2016	1	11:38	91	E08000012  (Liverpool)	3	5089	6	30	0
2016051600565	1	3	2	1  (Male)	03  (11 - 15)	2  (Serious)	0	0	2	0	0	9  ('Car occupant')	1	2016051600565	345683	391456	-2.817348	53.416849	5  (Merseyside)	2	1	3	13/02/2016	7	15:41	90	E08000011  (Knowsley)	6	0	6	30	3
2016051600567	2	1	1	1  (Male)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600567	337122	391974	-2.946257	53.420554	5  (Merseyside)	2	2	1	14/02/2016	1	15:04	91	E08000012  (Liverpool)	6	0	6	30	0
2016051600568	1	1	3	2  (Female)	08  (46 - 55)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600568	332519	387081	-3.01447	53.376006	5  (Merseyside)	2	1	1	12/02/2016	6	22:00	95	E08000015  (Wirral)	4	5149	6	30	3
2016051600574	1	1	1	2  (Female)	06  (26 - 35)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600574	342823	392040	-2.860485	53.421796	5  (Merseyside)	2	1	2	15/02/2016	2	13:30	90	E08000011  (Knowsley)	3	57	3	30	0
2016051600574	1	2	3	1  (Male)	11  (Over 75)	2  (Serious)	5	1	0	0	0	0  (Pedestrian)	1	2016051600574	342823	392040	-2.860485	53.421796	5  (Merseyside)	2	1	2	15/02/2016	2	13:30	90	E08000011  (Knowsley)	3	57	3	30	0
2016051600578	2	1	1	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600578	331834	391095	-3.025633	53.411996	5  (Merseyside)	2	2	1	15/02/2016	2	16:45	95	E08000015  (Wirral)	4	5145	6	30	6
2016051600582	1	1	3	1  (Male)	07  (36 - 45)	1  (Fatal)	8	9	0	0	0	0  (Pedestrian)	1	2016051600582	349142	389535	-2.764993	53.399926	5  (Merseyside)	1	1	1	15/02/2016	2	09:47	92	E08000013  (St. Helens)	1	62	3	70	0
2016051600594	1	1	3	1  (Male)	04  (16 - 20)	2  (Serious)	1	1	0	0	0	0  (Pedestrian)	1	2016051600594	334541	389973	-2.984677	53.402254	5  (Merseyside)	2	1	1	16/02/2016	3	11:10	91	E08000012  (Liverpool)	4	5339	6	30	3
2016051600596	1	1	3	1  (Male)	10  (66 - 75)	2  (Serious)	5	3	0	0	0	0  (Pedestrian)	1	2016051600596	342525	391736	-2.864914	53.419031	5  (Merseyside)	2	1	1	16/02/2016	3	13:15	90	E08000011  (Knowsley)	6	0	6	30	0
2016051600598	1	1	1	2  (Female)	10  (66 - 75)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600598	350437	395015	-2.746378	53.449308	5  (Merseyside)	2	1	1	15/02/2016	2	17:40	92	E08000013  (St. Helens)	3	58	2	30	0
2016051600600	1	1	1	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600600	325363	383590	-3.121204	53.343666	5  (Merseyside)	2	1	3	16/02/2016	3	22:15	95	E08000015  (Wirral)	3	540	6	50	0
2016051600600	1	2	2	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	1	0	0	9  ('Car occupant')	1	2016051600600	325363	383590	-3.121204	53.343666	5  (Merseyside)	2	1	3	16/02/2016	3	22:15	95	E08000015  (Wirral)	3	540	6	50	0
2016051600600	1	3	2	1  (Male)	04  (16 - 20)	2  (Serious)	0	0	2	0	0	9  ('Car occupant')	1	2016051600600	325363	383590	-3.121204	53.343666	5  (Merseyside)	2	1	3	16/02/2016	3	22:15	95	E08000015  (Wirral)	3	540	6	50	0
2016051600607	2	1	3	2  (Female)	09  (56 - 65)	2  (Serious)	9	5	0	0	0	0  (Pedestrian)	1	2016051600607	332778	384098	-3.009943	53.349227	5  (Merseyside)	2	2	1	12/02/2016	6	13:50	95	E08000015  (Wirral)	6	0	6	30	0
2016051600608	1	1	3	1  (Male)	05  (21 - 25)	2  (Serious)	1	3	0	0	0	0  (Pedestrian)	1	2016051600608	334562	389987	-2.984364	53.402383	5  (Merseyside)	2	1	1	15/02/2016	2	17:30	91	E08000012  (Liverpool)	4	5339	6	30	0
2016051600618	2	2	2	1  (Male)	07  (36 - 45)	2  (Serious)	0	0	1	0	0	9  ('Car occupant')	1	2016051600618	337685	389418	-2.937281	53.397646	5  (Merseyside)	2	2	3	17/02/2016	4	13:35	91	E08000012  (Liverpool)	6	0	6	30	6
2016051600634	2	1	1	2  (Female)	05  (21 - 25)	2  (Serious)	0	0	0	0	0	9  ('Car occupant')	1	2016051600634	351406	395906	-2.731925	53.457407	5  (Merseyside)	2	5	2	19/02/2016	6	07:58	92	E08000013  (St. Helens)	6	0	6	30	0
2016051600649	1	1	2	1  (Male)	05  (21 - 25)	2  (Serious)	0	0	2	0	0	9  ('Car occupant')	1	2016051600649	341015	399890	-2.889164	53.492156	5  (Merseyside)	2	1	3	20/02/2016	7	23:59	90	E08000011  (Knowsley)	6	0	6	30	6
2016051600649	1	2	2	1  (Male)	08  (46 - 55)	2  (Serious)	0	0	1	0	0	9  ('Car occupant')	1	2016051600649	341015	399890	-2.889164	53.492156	5  (Merseyside)	2	1	3	20/02/2016	7	23:59	90	E08000011  (Knowsley)	6	0	6	30	6
2016051600652	2	1	1	1  (Male)	08  (46 - 55)	2  (Serious)	0	0	0	0	0	1  (Cyclist)	1	2016051600652	329336	406874	-3.066764	53.553488	5  (Merseyside)	2	2	1	21/02/2016	1	01:50	93	E08000014  (Sefton)	6	0	6	30	1
